"language","source","n_words_matched","M","SD","Min","Max","inverted_in_pooling","correction"
"Dutch","Brysbaert2014a",4004,4.47981018981019,0.277056751593173,3.27,5,FALSE,NA
"Dutch","Jasmin2012",190,8.45973684210526,0.383697458820513,7.29,9,FALSE,NA
"French","Bonin2018",651,4.34204301075269,0.461515868209065,2.04,5,FALSE,NA
"French","Quadflieg2014",71,3.97112676056338,0.552445341306074,3.2,5.58,FALSE,NA
"Italian","Montefinese2014",398,7.6179648241206,0.846461074949331,4.75,9,FALSE,NA
"Italian","Montefinese2023_it",174,5.3298275862069,1.2417940937441,1.8,6.96,FALSE,NA
"Italian","Barca2002",281,6.02017793594306,0.656701963013454,3.36,7,FALSE,NA
"Italian","DellaRosa2010",191,6.65891072278507,2.56892486712051,1,9,FALSE,"Rescaled from source's own observed range [315, 700] to [1, 9] (min-max)"
"Portuguese","Cameirao2010",18,5.22,1.31584014763103,2.44,6.78,FALSE,NA
"Portuguese","Marques2005",122,6.28327868852459,0.724152902240306,3.68,6.86,FALSE,NA
"Portuguese","Marques2007",121,6.28115702479339,0.726783083277081,3.68,6.86,FALSE,NA
"Portuguese","Soares2017_MinhoWordPool",1684,5.57383016627078,0.836394802620863,4.04,6.91,FALSE,NA
"Chinese_Simplified","Yao2017",395,5.95296202531646,0.863244432551357,2.67,8.82,FALSE,NA
"Chinese_Simplified","Liu2007",866,5.88782909930716,0.558355884094134,5,7,FALSE,NA
"Chinese_Simplified","Liu2025",349,3.21793524355301,0.899871516717331,1.1111,4.963,TRUE,"Reverse-scored (min + max - x) within its own observed range -- source's native scale runs high=abstract"
"Chinese_Simplified","Yee2017",62,3.65516129032258,0.563151966607052,2.68,4.78,FALSE,NA
"Spanish","Davis2005a",588,5.62270238095238,0.536980457542989,4.254,6.728,FALSE,NA
"Spanish","Diez-Alamo2018a",318,6.01578616352201,0.395633714625842,4.94,6.8,FALSE,NA
"Spanish","Duchon2013",555,5.62958558558559,0.532806744051397,4.254,6.728,FALSE,NA
"Spanish","Ferre2012",45,7.44911111111111,0.570477560000958,6.17,8.56,FALSE,NA
"Spanish","Guasch2016",645,5.55141085271318,0.815119752780362,3.2,7,FALSE,NA
"Spanish","Hinojosa2016a",189,5.61169312169312,0.553799536476308,4.7,6.75,FALSE,NA
"Russian","Grigoriev2026_cmp_Grigoriev2022",324,6.04971840544753,0.620471310048636,4.466666667,7,FALSE,NA
"Russian","Grigoriev2026_cmp_Soloviev2022_1000",582,2.28070276720103,0.37194415192871,1.204545455,3.208333333,TRUE,"Reverse-scored (min + max - x) within its own observed range -- source's native scale runs high=abstract"
"Russian","Grigoriev2026_cmp_Soloviev2022_500",278,2.10254330429137,0.414835368043023,1.033333333,2.883333333,TRUE,"Reverse-scored (min + max - x) within its own observed range -- source's native scale runs high=abstract"
"Chinese_Traditional","Su2023",1664,4.53955847355769,0.889721470372029,3.25,6.9474,FALSE,NA
"Turkish","Goz2017",221,6.33031674208145,0.577796275154197,4.92,7,FALSE,NA
"German","Kanske2010",600,3.42881449666667,1.02538155916797,1.190476,4.761905,TRUE,"Reverse-scored (min + max - x) within its own observed range -- source's native scale runs high=abstract"
"Galician","AlvarezMosquera2026",624,6.41717785586064,1.00111935267244,4.85714285714286,8.71428571428571,FALSE,NA
"Polish","Imbir2016",1687,4.76330366410596,1.37155239151641,2.64583333333333,7.72,FALSE,NA
